"win_length","x","Q1_sec","Q2_sec","Q3_sec","Q4_sec","A_MIN(Q1,Q2)","A_NORM(Q3)","A_Q1","A_adj_rand_idx","Q1_sec","A_Q2","A_adj_rand_idx","Q2_sec","A_Q3","A_adj_rand_idx","Q3_sec","A_Q4","A_adj_rand_idx","Q4_sec"
20,340,-0.020739355,-0.011031854,-0.018412135,-0.010520238,-0.0110318537,-0.009206068,0.220028000,-0.094257800,-0.020739355,0.154458000,-0.071423000,-0.011031854,0.257790000,-0.071423000,-0.018412135,0.31252100,-0.03366250,-0.010520238
20,360,0.001568838,-0.006691970,0.034360584,-0.013235960,0.0015688383,0.017180292,0.184602000,0.008498490,0.001568838,0.198796000,-0.033662500,-0.006691970,0.200627000,0.171266000,0.034360584,0.39319600,-0.03366250,-0.013235960
20,380,0.002228219,-0.004982699,-0.022550510,-0.014606327,0.0022282191,-0.011275255,0.262190000,0.008498490,0.002228219,0.230101000,-0.021654400,-0.004982699,0.319217000,-0.070643200,-0.022550510,0.43390500,-0.03366250,-0.014606327
20,400,-0.021850899,-0.007812481,-0.027242115,-0.012878195,-0.0078124812,-0.013621058,0.249117000,-0.087713400,-0.021850899,0.128688000,-0.060708700,-0.007812481,0.310581000,-0.087713400,-0.027242115,0.38256800,-0.03366250,-0.012878195
20,420,-0.029183652,-0.017836559,-0.046283313,-0.014415898,-0.0178365589,-0.023141657,0.332716000,-0.087713400,-0.029183652,0.179124000,-0.099576600,-0.017836559,0.491029000,-0.094257800,-0.046283313,0.42824800,-0.03366250,-0.014415898
20,440,-0.023942743,-0.007283589,-0.022378254,-0.015262813,-0.0072835888,-0.011189127,0.220064000,-0.108799000,-0.023942743,0.216371000,-0.033662500,-0.007283589,0.313320000,-0.071423000,-0.022378254,0.45340700,-0.03366250,-0.015262813
20,460,-0.037913293,-0.037796765,-0.035604061,-0.019430702,-0.0377967648,-0.017802030,0.380745000,-0.099576600,-0.037913293,0.346928000,-0.108947000,-0.037796765,0.593996000,-0.059939900,-0.035604061,0.57722100,-0.03366250,-0.019430702
20,480,-0.027405658,-0.027405316,-0.030894805,-0.015220028,-0.0274053160,-0.015447403,0.320136000,-0.085606300,-0.027405658,0.320132000,-0.085606300,-0.027405316,0.488961000,-0.063184600,-0.030894805,0.45213600,-0.03366250,-0.015220028
20,500,-0.028609693,0.018964186,-0.040658719,-0.017589834,0.0189641855,-0.020329360,0.303526000,-0.094257800,-0.028609693,0.199535000,0.095041900,0.018964186,0.408316000,-0.099576600,-0.040658719,0.52253500,-0.03366250,-0.017589834
20,520,0.035958490,-0.011394428,-0.028456580,-0.017355947,0.0359584896,-0.014228290,0.255387000,0.140800000,0.035958490,0.239111000,-0.047653300,-0.011394428,0.356288000,-0.079869600,-0.028456580,0.51558700,-0.03366250,-0.017355947
20,540,0.011431346,-0.008096807,-0.028866311,-0.015874764,0.0114313464,-0.014433156,0.255045000,0.044820900,0.011431346,0.240529000,-0.033662500,-0.008096807,0.361418000,-0.079869600,-0.028866311,0.47158600,-0.03366250,-0.015874764
20,560,0.005636593,-0.018464830,-0.014280036,-0.011858626,0.0056365934,-0.007140018,0.219473000,0.025682400,0.005636593,0.178000000,-0.103735000,-0.018464830,0.424212000,-0.033662500,-0.014280036,0.35228000,-0.03366250,-0.011858626
20,580,-0.013189480,0.000441420,-0.017062744,-0.014333324,0.0004414198,-0.008531372,0.276780000,-0.047653300,-0.013189480,0.212546000,0.002076820,0.000441420,0.383932000,-0.044442100,-0.017062744,0.42579500,-0.03366250,-0.014333324
20,600,-0.016387089,0.028904128,-0.025800627,-0.012692378,0.0289041280,-0.012900313,0.273392000,-0.059939900,-0.016387089,0.205285000,0.140800000,0.028904128,0.241597000,-0.106792000,-0.025800627,0.37704800,-0.03366250,-0.012692378
20,620,-0.036606047,0.051465374,-0.038829459,-0.020318651,0.0514653744,-0.019414729,0.417337000,-0.087713400,-0.036606047,0.237485000,0.216710000,0.051465374,0.549656000,-0.070643200,-0.038829459,0.60359900,-0.03366250,-0.020318651
20,640,-0.012655096,-0.008776420,0.035361957,-0.017797263,-0.0087764197,0.017680978,0.265566000,-0.047653300,-0.012655096,0.260718000,-0.033662500,-0.008776420,0.365274000,0.096809400,0.035361957,0.52869700,-0.03366250,-0.017797263
20,660,0.021831318,0.007900203,-0.022172127,0.017810347,0.0218313179,-0.011086064,0.205950000,0.106003000,0.021831318,0.174272000,0.045332600,0.007900203,0.465280000,-0.047653300,-0.022172127,0.39736700,0.04482090,0.017810347
20,680,-0.007694048,-0.007693944,-0.005228746,-0.020975205,-0.0076939436,-0.002614373,0.368346000,-0.020888100,-0.007694048,0.368341000,-0.020888100,-0.007693944,0.489276000,-0.010686700,-0.005228746,0.62310300,-0.03366250,-0.020975205
20,700,0.007705907,-0.020729199,-0.065470705,-0.028973886,0.0077059066,-0.032735352,0.449324000,0.017150000,0.007705907,0.615795000,-0.033662500,-0.020729199,0.926780000,-0.070643200,-0.065470705,0.86071700,-0.03366250,-0.028973886
20,720,0.118274253,0.118274253,0.197229388,0.131980269,0.1182742529,0.098614694,0.755775000,0.156494000,0.118274253,0.755775000,0.156494000,0.118274253,1.260300000,0.156494000,0.197229388,0.83969200,0.15717700,0.131980269
20,740,-0.016761266,-0.016761266,0.008853441,-0.017090115,-0.0167612657,0.004426721,0.497921000,-0.033662500,-0.016761266,0.497921000,-0.033662500,-0.016761266,0.042692700,0.207376000,0.008853441,0.50769000,-0.03366250,-0.017090115
20,760,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.010257800,0.000000000,0.50000000,-0.03366250,-0.016831250
20,780,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.006405960,0.000000000,0.50000000,-0.03366250,-0.016831250
20,800,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.008734520,0.000000000,0.50000000,-0.03366250,-0.016831250
20,820,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.003554740,0.000000000,0.50000000,-0.03366250,-0.016831250
20,840,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.026856000,0.000000000,0.50000000,-0.03366250,-0.016831250
20,860,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.021546400,0.000000000,0.50000000,-0.03366250,-0.016831250
20,880,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.006228470,0.000000000,0.50000000,-0.03366250,-0.016831250
20,900,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.002872440,0.000000000,0.50000000,-0.03366250,-0.016831250
20,920,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.006141440,0.000000000,0.50000000,-0.03366250,-0.016831250
20,940,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.009116410,0.000000000,0.50000000,-0.03366250,-0.016831250
20,960,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.016134900,0.000000000,0.50000000,-0.03366250,-0.016831250
20,980,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.009468050,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1000,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.003687700,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1020,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.012341700,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1040,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.008494790,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1060,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.012341700,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1080,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.016134900,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1100,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.003554740,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1120,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.010257800,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1140,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.006405960,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1160,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,0.001337150,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1180,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.010392100,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1200,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.010257800,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1220,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.007866110,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1240,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.000098061,0.000000000,0.50000000,-0.03366250,-0.016831250
20,1260,-0.016831250,-0.016831250,0.000000000,-0.016831250,-0.0168312500,0.000000000,0.500000000,-0.033662500,-0.016831250,0.500000000,-0.033662500,-0.016831250,0.000000000,-0.003687700,0.000000000,0.50000000,-0.03366250,-0.016831250
