AL,NCBI_SEQ_ID,VERS_ACCESS
  461         , 16128458     ,NP_415007.1   
  462         , 16128507     ,NP_415056.1   
  463         , 16128510     ,NP_415059.1   
  464         , 16128622     ,NP_415172.1   
  465         , 16128625     ,NP_415175.1   
  466         , 16128698     ,NP_415251.1   
  467         , 16128747     ,NP_415300.1   
  468         , 16128855     ,NP_415408.1   
  469         , 16128860     ,NP_415413.1   
  470         , 16128875     ,NP_415428.1   
  471         , 16128912     ,NP_415465.1   
  472         , 16129056     ,NP_415611.1   
  473         , 16129173     ,NP_415728.1   
  474         , 16129204     ,NP_415759.1   
  475         , 16129221     ,NP_415776.1   
  476         , 16129222     ,NP_415777.1   
  477         , 16129224     ,NP_415779.1   
  478         , 16129242     ,NP_415797.1   
  479         , 16129595     ,NP_416154.1   
  480         , 16129669     ,NP_416228.1   
  481         , 16129670     ,NP_416229.1   
  482         , 16129675     ,NP_416234.1   
  483         , 16129694     ,NP_416254.1   
  484         , 16129813     ,NP_416374.1   
  485         , 16129819     ,NP_416380.1   
  486         , 16129961     ,NP_416524.1   
  487         , 16129964     ,NP_416527.1   
  488         , 16130166     ,NP_416734.1   
  489         , 16130247     ,NP_416815.1   
  490         , 16130253     ,NP_416821.1   
  491         , 16130330     ,NP_416899.1   
  492         , 16130403     ,NP_416973.1   
  493         , 16130424     ,NP_416994.1   
  494         , 16130432     ,NP_417002.1   
  495         , 16130439     ,NP_417009.1   
  496         , 16130476     ,NP_417046.1   
  497         , 16130533     ,NP_417104.1   
  498         , 16130604     ,NP_417177.1   
  499         , 16130606     ,NP_417179.1   
  500         , 16130686     ,NP_417259.1   
  501         , 16130687     ,NP_417260.1   
  502         , 16130792     ,NP_417366.1   
  503         , 16130814     ,NP_417388.1   
  504         , 16130827     ,NP_417401.1   
  505         , 16130843     ,NP_417417.1   
  506         , 16130962     ,NP_417538.1   
  507         , 16130963     ,NP_417539.1   
  508         , 16131060     ,NP_417637.1   
  509         , 16131061     ,NP_417638.1   
  510         , 16131162     ,NP_417740.1   
  511         , 16131166     ,NP_417745.1   
  512         , 16131174     ,NP_417754.1   
  513         , 16131179     ,NP_417759.1   
  514         , 16131184     ,NP_417764.1   
  515         , 16131186     ,NP_417766.1   
  516         , 16131188     ,NP_417768.1   
  517         , 16131192     ,NP_417772.1   
  518         , 16131196     ,NP_417776.1   
  519         , 16131197     ,NP_417777.1   
  520         , 16131199     ,NP_417779.1   
  521         , 16131238     ,NP_417818.1   
  522         , 16131262     ,NP_417843.1   
  523         , 16131430     ,NP_418016.1   
  524         , 16131507     ,NP_418093.1   
  525         , 16131508     ,NP_418094.1   
  526         , 16131597     ,NP_418185.1   
  527         , 16131599     ,NP_418187.1   
  528         , 16131600     ,NP_418188.1   
  529         , 16131602     ,NP_418190.1   
  530         , 16131606     ,NP_418194.1   
  531         , 16131632     ,NP_418222.1   
  532         , 16131811     ,NP_418408.1   
  533         , 16131812     ,NP_418409.1   
  534         , 16131817     ,NP_418414.1   
  535         , 16131835     ,NP_418433.1   
  536         , 16131884     ,NP_418482.1   
  537         , 16131999     ,NP_418598.1   
  538         , 16132067     ,NP_418666.1   
  539         , 16132080     ,NP_418679.1   
  540         , 16329235     ,NP_439963.1   
  541         , 16329238     ,NP_439966.1   
  542         , 16329260     ,NP_439988.1   
  543         , 16329287     ,NP_440015.1   
  544         , 16329288     ,NP_440016.1   
  545         , 16329319     ,NP_440047.1   
  546         , 16329327     ,NP_440055.1   
  547         , 16329410     ,NP_440138.1   
  548         , 16329458     ,NP_440186.1   
  549         , 16329464     ,NP_440192.1   
  550         , 16329511     ,NP_440239.1   
  551         , 16329524     ,NP_440252.1   
  552         , 16329543     ,NP_440271.1   
  553         , 16329555     ,NP_440283.1   
  554         , 16329672     ,NP_440400.1   
  555         , 16329694     ,NP_440422.1   
  556         , 16329714     ,NP_440442.1   
  557         , 16329716     ,NP_440444.1   
  558         , 16329751     ,NP_440479.1   
  559         , 16329759     ,NP_440487.1   
  560         , 16329762     ,NP_440490.1   
  561         , 16329819     ,NP_440547.1   
  562         , 16329865     ,NP_440593.1   
  563         , 16329883     ,NP_440611.1   
  564         , 16329894     ,NP_440622.1   
  565         , 16329915     ,NP_440643.1   
  566         , 16329917     ,NP_440645.1   
  567         , 16329922     ,NP_440650.1   
  568         , 16329923     ,NP_440651.1   
  569         , 16329927     ,NP_440655.1   
  570         , 16329930     ,NP_440658.1   
  571         , 16329934     ,NP_440662.1   
  572         , 16329938     ,NP_440666.1   
  573         , 16329939     ,NP_440667.1   
  574         , 16329941     ,NP_440669.1   
  575         , 16329957     ,NP_440685.1   
  576         , 16330003     ,NP_440731.1   
  577         , 16330012     ,NP_440740.1   
  578         , 16330044     ,NP_440772.1   
  579         , 16330073     ,NP_440801.1   
  580         , 16330075     ,NP_440803.1   
  581         , 16330111     ,NP_440839.1   
  582         , 16330137     ,NP_440865.1   
  583         , 16330159     ,NP_440887.1   
  584         , 16330190     ,NP_440918.1   
  585         , 16330206     ,NP_440934.1   
  586         , 16330212     ,NP_440940.1   
  587         , 16330254     ,NP_440982.1   
  588         , 16330303     ,NP_441031.1   
  589         , 16330312     ,NP_441040.1   
  590         , 16330349     ,NP_441077.1   
  591         , 16330350     ,NP_441078.1   
  592         , 16330405     ,NP_441133.1   
  593         , 16330470     ,NP_441198.1   
  594         , 16330475     ,NP_441203.1   
  595         , 16330502     ,NP_441230.1   
  596         , 16330543     ,NP_441271.1   
  597         , 16330578     ,NP_441306.1   
  598         , 16330821     ,NP_441549.1   
  599         , 16330844     ,NP_441572.1   
  600         , 16330874     ,NP_441602.1   
  601         , 16330891     ,NP_441619.1   
  602         , 16330901     ,NP_441629.1   
  603         , 16330918     ,NP_441646.1   
  604         , 16330982     ,NP_441710.1   
  605         , 16331016     ,NP_441744.1   
  606         , 16331071     ,NP_441799.1   
  607         , 16331075     ,NP_441803.1   
  608         , 16331117     ,NP_441845.1   
  609         , 16331161     ,NP_441889.1   
  610         , 16331162     ,NP_441890.1   
  611         , 16331222     ,NP_441950.1   
  612         , 16331261     ,NP_441989.1   
  613         , 16331279     ,NP_442007.1   
  614         , 16331304     ,NP_442032.1   
  615         , 16331334     ,NP_442062.1   
  616         , 16331375     ,NP_442103.1   
  617         , 16331412     ,NP_442140.1   
  618         , 16331421     ,NP_442149.1   
  619         , 16331492     ,NP_442220.1   
  620         , 16331493     ,NP_442221.1   
  621         , 16331508     ,NP_442236.1   
  622         , 16331511     ,NP_442239.1   
  623         , 16331530     ,NP_442258.1   
  624         , 16331546     ,NP_442274.1   
  625         , 16331552     ,NP_442280.1   
  626         , 16331582     ,NP_442310.1   
  627         , 16331601     ,NP_442329.1   
  628         , 16331621     ,NP_442349.1   
  629         , 16331631     ,NP_442359.1   
  630         , 16331668     ,NP_442396.1   
  631         , 16331710     ,NP_442438.1   
  632         , 16331723     ,NP_442451.1   
  633         , 16331750     ,NP_442478.1   
  634         , 16331760     ,NP_442488.1   
  635         , 16331761     ,NP_442489.1   
  636         , 16331768     ,NP_442496.1   
  637         , 16331773     ,NP_442501.1   
  638         , 16331825     ,NP_442553.1   
  639         , 16331892     ,NP_442620.1   
  640         , 16332037     ,NP_442765.1   
  641         , 16332038     ,NP_442766.1   
  642         , 16332049     ,NP_442777.1   
  643         , 16332061     ,NP_442789.1   
  644         , 16332064     ,NP_442792.1   
  645         , 16332067     ,NP_442795.1   
  646         , 16332068     ,NP_442796.1   
  647         , 16332071     ,NP_442799.1   
  648         , 16332082     ,NP_442810.1   
  649         , 16332087     ,NP_442815.1   
  650         , 16332126     ,NP_442854.1   
  651         , 16332139     ,NP_442867.1   
  652         , 16332159     ,NP_442887.1   
  653         , 16332209     ,NP_442937.1   
  654         , 16332267     ,NP_442995.1   
  655         , 16332317     ,NP_443045.1   
  656         , 19703761     ,NP_603323.1   
  657         , 19703762     ,NP_603324.1   
  658         , 19703769     ,NP_603331.1   
  659         , 19703882     ,NP_603444.1   
  660         , 19703946     ,NP_603508.1   
  661         , 19703989     ,NP_603551.1   
  662         , 19704032     ,NP_603594.1   
  663         , 19704088     ,NP_603650.1   
  664         , 19704089     ,NP_603651.1   
  665         , 19704552     ,NP_604114.1   
  666         , 19704776     ,NP_604338.1   
  667         , 19704945     ,NP_602440.1   
  668         , 19704950     ,NP_602445.1   
  669         , 19704959     ,NP_602454.1   
  670         , 19704963     ,NP_602458.1   
  671         , 19705311     ,NP_602806.1   
  672         , 19705316     ,NP_602811.1   
  673         , 19705318     ,NP_602813.1   
  674         , 20088942     ,NP_615017.1   
  675         , 20089018     ,NP_615093.1   
  676         , 20089029     ,NP_615104.1   
  677         , 20089069     ,NP_615144.1   
  678         , 20089092     ,NP_615167.1   
  679         , 20089106     ,NP_615181.1   
  680         , 20089110     ,NP_615185.1   
  681         , 20089117     ,NP_615192.1   
  682         , 20089200     ,NP_615275.1   
  683         , 20089269     ,NP_615344.1   
  684         , 20089322     ,NP_615397.1   
  685         , 20089466     ,NP_615541.1   
  686         , 20089476     ,NP_615551.1   
  687         , 20089481     ,NP_615556.1   
  688         , 20089519     ,NP_615594.1   
  689         , 20089586     ,NP_615661.1   
  690         , 20089634     ,NP_615709.1   
  691         , 20089645     ,NP_615720.1   
  692         , 20089776     ,NP_615851.1   
  693         , 20089791     ,NP_615866.1   
  694         , 20089821     ,NP_615896.1   
  695         , 20089905     ,NP_615980.1   
  696         , 20089944     ,NP_616019.1   
