AL,GN,GENE_ID,NCBI_SEQ_ID
 7282    ,  1      ,111      ,226227156
 1099    ,  1      ,111      , 29830022
 5996    ,  1      ,111      ,218555032
 8160    ,  1      ,111      ,260856601
 9465    ,  1      ,111      ,300311521
 8260    ,  1      ,111      ,260869196
 9764    ,  1      ,111      ,302036775
 4050    ,  1      ,111      ,148255024
  987    ,  1      ,111      , 27379100
 1681    ,  1      ,111      , 39935272
 2724    ,  1      ,111      , 86355954
 5345    ,  1      ,111      ,190889964
 6569    ,  1      ,111      ,222084579
 5758    ,  1      ,111      ,209967210
 3386    ,  1      ,111      ,110679988
 5554    ,  1      ,111      ,197117160
 8060    ,  1      ,111      ,260845137
10667    ,  1      ,111      ,340786549
10395    ,  1      ,111      ,339326094
 2948    ,  1      ,111      , 94310405
 3600    ,  1      ,111      ,119897872
 4834    ,  1      ,111      ,162451952
 7592    ,  1      ,111      ,254162481
 7491    ,  1      ,111      ,238901672
 4956    ,  1      ,111      ,170082117
  494    ,  1      ,111      , 16130432
 7693    ,  1      ,111      ,254794453
 8671    ,  1      ,111      ,291283728
 4359    ,  1      ,111      ,152980120
 7132    ,  1      ,111      ,225872762
 6848    ,  1      ,111      ,224368988
 4779    ,  1      ,111      ,162148917
 1362    ,  1      ,111      , 32475335
 1422    ,  1      ,111      , 33239490
   35    ,  1      ,111      , 15605784
 4305    ,  1      ,111      ,150025936
10810    ,  1      ,111      ,347536180
 3701    ,  1      ,111      ,120436574
 3133    ,  1      ,111      ,110637346
  365    ,  1      ,111      , 15899196
 9351    ,  1      ,111      ,298735957
 3046    ,  1      ,111      ,109947068
 1600    ,  1      ,111      , 34557924
 5064    ,  1      ,111      ,172038179
 5223    ,  1      ,111      ,189218261
  370    ,  1      ,111      , 15899931
  748    ,  1      ,111      , 20093296
 1794    ,  1      ,111      , 45657694
   13    ,  1      ,111      , 14602074
10890    ,  1      ,111      ,352681997
 5002    ,  1      ,111      ,170290743
 9300    ,  1      ,111      ,297621872
 8769    ,  1      ,111      ,291617113
 3291    ,  1      ,111      ,110668840
 1412    ,  1      ,111      , 32477727
  752    ,  1      ,111      , 20093374
  617    ,  1      ,111      , 16331412
 5515    ,  1      ,111      ,191638913
 3312    ,  1      ,111      ,110669518
 7979    ,  1      ,111      ,258540150
 7859    ,  1      ,111      ,258508963
 2607    ,  1      ,111      , 73748640
 7114    ,  1      ,111      ,225621479
  666    ,  1      ,111      , 19704776
10255    ,  1      ,111      ,337737910
 8359    ,  1      ,111      ,270308142
 5907    ,  1      ,111      ,217077171
 4450    ,  1      ,111      ,154685131
 9944    ,  1      ,111      ,308172519
 9843    ,  1      ,111      ,305673338
 7748    ,  1      ,111      ,255767161
 9625    ,  1      ,111      ,300871832
 2285    ,  1      ,111      , 52784488
 4563    ,  1      ,111      ,157691340
 1851    ,  1      ,111      , 49476755
 2227    ,  1      ,111      , 52144972
 6700    ,  1      ,111      ,222094026
 8577    ,  1      ,111      ,288554931
 7343    ,  1      ,111      ,226310118
10174    ,  1      ,111      ,328958127
  264    ,  1      ,111      , 15673468
 8456    ,  1      ,111      ,281492046
 2027    ,  1      ,111      , 52079121
 1469    ,  2      ,112      , 33240416
 5903    ,  2      ,112      ,217077015
 7014    ,  2      ,112      ,225619072
10813    ,  2      ,112      ,347536244
 3140    ,  2      ,112      ,110637538
 3708    ,  2      ,112      ,120436679
 4277    ,  2      ,112      ,150025120
10244    ,  2      ,112      ,337737572
 9294    ,  2      ,112      ,297621760
10316    ,  2      ,112      ,338175165
10392    ,  2      ,112      ,339325473
10671    ,  2      ,112      ,340786697
 9459    ,  2      ,112      ,300311299
 2942    ,  2      ,112      , 94310110
 4360    ,  2      ,112      ,152980129
 3587    ,  2      ,112      ,119897375
 8144    ,  2      ,112      ,260855579
 8244    ,  2      ,112      ,260868240
  604    ,  2      ,112      , 16330982
 5980    ,  2      ,112      ,218554281
 9820    ,  2      ,112      ,304570505
 5027    ,  2      ,112      ,172036236
 9201    ,  2      ,112      ,295706826
10131    ,  2      ,112      ,328956932
 7967    ,  2      ,112      ,258539943
 8044    ,  2      ,112      ,260844065
 7847    ,  2      ,112      ,258508766
 5503    ,  2      ,112      ,191638703
 7963    ,  2      ,112      ,258539891
 7843    ,  2      ,112      ,258508712
 5499    ,  2      ,112      ,191638661
 8485    ,  2      ,112      ,281492543
  290    ,  2      ,112      , 15673910
 9694    ,  2      ,112      ,301056068
 7360    ,  2      ,112      ,226311228
 1899    ,  2      ,112      , 49478689
 6799    ,  2      ,112      ,222098024
 8987    ,  2      ,112      ,294501478
 9897    ,  2      ,112      ,305675452
  423    ,  2      ,112      , 16079915
 4512    ,  2      ,112      ,154686998
 9996    ,  2      ,112      ,308174560
 2083    ,  2      ,112      , 52081370
 2348    ,  2      ,112      , 52786745
 4618    ,  2      ,112      ,157693281
 2128    ,  2      ,112      , 52140947
 7677    ,  2      ,112      ,254793330
 8655    ,  2      ,112      ,291282893
 6286    ,  2      ,112      ,218695275
 7475    ,  2      ,112      ,238900928
 3824    ,  2      ,112      ,121637558
 6965    ,  2      ,112      ,224990033
 4185    ,  2      ,112      ,148661446
  171    ,  2      ,112      , 15608788
10589    ,  2      ,112      ,340626656
 5180    ,  2      ,112      ,183982471
 7160    ,  2      ,112      ,225873445
 5585    ,  2      ,112      ,197118377
 7287    ,  2      ,112      ,226227280
 1244    ,  2      ,112      , 31792837
10111    ,  2      ,112      ,320451541
 5321    ,  2      ,112      ,189220273
 8316    ,  2      ,112      ,270307739
 2560    ,  2      ,112      , 73748211
 1341    ,  2      ,112      , 32474644
 9349    ,  2      ,112      ,298735949
 3044    ,  2      ,112      ,109947062
   98    ,  2      ,112      , 15606806
 1591    ,  2      ,112      , 34557669
 7576    ,  2      ,112      ,254161773
  789    ,  2      ,112      , 21673560
10500    ,  2      ,112      ,339631706
 1159    ,  2      ,112      , 29833285
 6832    ,  2      ,112      ,224367578
 3339    ,  2      ,112      ,110678357
 4940    ,  2      ,112      ,170081372
 3935    ,  2      ,112      ,134101779
  480    ,  2      ,112      , 16129669
 6488    ,  2      ,112      ,218705213
 3469    ,  2      ,112      ,117623889
 2846    ,  2      ,112      , 91210927
 6184    ,  2      ,112      ,218689658
 5794    ,  2      ,112      ,215486932
 6383    ,  2      ,112      ,218699719
 2477    ,  2      ,112      , 62179927
 6082    ,  2      ,112      ,218558583
 8777    ,  2      ,112      ,291617252
 5719    ,  2      ,112      ,209965603
 4781    ,  2      ,112      ,162149041
 4020    ,  2      ,112      ,148251830
  957    ,  2      ,112      , 27375816
 1639    ,  2      ,112      , 39933115
 2723    ,  2      ,112      , 86355922
 5344    ,  2      ,112      ,190889930
 6568    ,  2      ,112      ,222084533
 9100    ,  2      ,112      ,294678667
 3841    ,  3      ,113      ,121638465
 1262    ,  3      ,113      , 31793764
10603    ,  3      ,113      ,340627597
 4203    ,  3      ,113      ,148662419
10514    ,  3      ,113      ,339632608
  325    ,  3      ,113      , 15897222
 5908    ,  3      ,113      ,217077192
 7026    ,  3      ,113      ,225619394
10256    ,  3      ,113      ,337737950
 6983    ,  3      ,113      ,224990959
 1738    ,  3      ,113      , 41614900
  188    ,  3      ,113      , 15609717
 5157    ,  3      ,113      ,183982141
 3572    ,  3      ,113      ,119897219
 1163    ,  3      ,113      , 29833386
 4851    ,  3      ,113      ,162452821
10681    ,  3      ,113      ,340787106
 9477    ,  3      ,113      ,300312256
 4356    ,  3      ,113      ,152980083
10402    ,  3      ,113      ,339326394
 2955    ,  3      ,113      , 94311043
 6404    ,  3      ,113      ,218701024
 6505    ,  3      ,113      ,218706017
 5997    ,  3      ,113      ,218555039
 9623    ,  3      ,113      ,300871818
 3897    ,  3      ,113      ,134098606
 2553    ,  3      ,113      , 73747962
 1973    ,  3      ,113      , 49481486
 9291    ,  3      ,113      ,297621744
 6303    ,  3      ,113      ,218696141
 5060    ,  3      ,113      ,172037888
  616    ,  3      ,113      , 16331375
 1459    ,  3      ,113      , 33240229
 9689    ,  3      ,113      ,301055912
 2136    ,  3      ,113      , 52141104
 6791    ,  3      ,113      ,222097847
 9193    ,  3      ,113      ,295706712
 8979    ,  3      ,113      ,294501365
 4503    ,  3      ,113      ,154686897
 9987    ,  3      ,113      ,308174457
 9888    ,  3      ,113      ,305675342
 2613    ,  3      ,113      , 73748650
  419    ,  3      ,113      , 16079810
 2339    ,  3      ,113      , 52786615
10722    ,  3      ,113      ,342675149
 8590    ,  3      ,113      ,288555365
 7370    ,  3      ,113      ,226311476
 8489    ,  3      ,113      ,281492566
  294    ,  3      ,113      , 15673949
10152    ,  3      ,113      ,328957464
 7954    ,  3      ,113      ,258539738
 7834    ,  3      ,113      ,258508557
 5490    ,  3      ,113      ,191638516
10361    ,  3      ,113      ,338176519
 2075    ,  3      ,113      , 52081235
 8261    ,  3      ,113      ,260869203
 8161    ,  3      ,113      ,260856608
 7694    ,  3      ,113      ,254794460
 7344    ,  3      ,113      ,226310121
   30    ,  3      ,113      , 15605705
 1290    ,  3      ,113      , 32470802
10730    ,  3      ,113      ,344210741
 2427    ,  3      ,113      , 55379745
 8872    ,  3      ,113      ,292655989
 2711    ,  3      ,113      , 76803150
 3229    ,  3      ,113      ,110667082
 7283    ,  3      ,113      ,226227160
 4312    ,  3      ,113      ,150026060
 3678    ,  3      ,113      ,120435468
 3178    ,  3      ,113      ,110639058
10063    ,  3      ,113      ,320450609
 9336    ,  3      ,113      ,298735797
 1594    ,  3      ,113      , 34557793
10897    ,  3      ,113      ,352682017
  694    ,  3      ,113      , 20089821
 5004    ,  3      ,113      ,170290860
 3534    ,  3      ,113      ,118431143
 1905    ,  3      ,113      , 49479017
 6753    ,  3      ,113      ,222096790
 2175    ,  3      ,113      , 52142218
 5214    ,  3      ,113      ,189218097
 1745    ,  3      ,113      , 45655962
 8061    ,  3      ,113      ,260845144
 3093    ,  3      ,113      ,109948052
  770    ,  3      ,113      , 21673075
 5753    ,  3      ,113      ,209966825
10809    ,  3      ,113      ,347536177
 6580    ,  3      ,113      ,222084995
 8672    ,  3      ,113      ,291283735
 7593    ,  3      ,113      ,254162488
 9815    ,  3      ,113      ,302039659
 4957    ,  3      ,113      ,170082124
  495    ,  3      ,113      , 16130439
 6099    ,  3      ,113      ,218559440
 3485    ,  3      ,113      ,117624743
  891    ,  3      ,113      , 26248878
 2862    ,  3      ,113      , 91211840
 6201    ,  3      ,113      ,218690634
 5812    ,  3      ,113      ,215487864
 2500    ,  3      ,113      , 62181089
 8804    ,  3      ,113      ,291618410
 7492    ,  3      ,113      ,238901679
 5602    ,  3      ,113      ,197119467
 4738    ,  3      ,113      ,162147698
 5356    ,  3      ,113      ,190890528
 1674    ,  3      ,113      , 39934253
 1064    ,  3      ,113      , 27382568
 4038    ,  3      ,113      ,148253270
 2735    ,  3      ,113      , 86356467
 9047    ,  3      ,113      ,294676352
 6826    ,  3      ,113      ,224367377
 7179    ,  3      ,113      ,225873933
 3427    ,  3      ,113      ,110681188
 8014    ,  4      ,114      ,260842288
 3439    ,  4      ,114      ,117622341
 8113    ,  4      ,114      ,260853265
 5949    ,  4      ,114      ,218552636
 6255    ,  4      ,114      ,218693523
 7444    ,  4      ,114      ,238899456
 4907    ,  4      ,114      ,170079714
 8214    ,  4      ,114      ,260866205
 7545    ,  4      ,114      ,254160176
 5764    ,  4      ,114      ,215485215
  851    ,  4      ,114      , 26245977
 6457    ,  4      ,114      ,218703312
 6050    ,  4      ,114      ,218556992
 6153    ,  4      ,114      ,218687929
 6356    ,  4      ,114      ,218698473
 2452    ,  4      ,114      , 62178655
 8743    ,  4      ,114      ,291616236
 4846    ,  4      ,114      ,162452719
10038    ,  4      ,114      ,320449691
 7289    ,  4      ,114      ,226227288
 2694    ,  4      ,114      , 76802475
 7646    ,  4      ,114      ,254791190
 2819    ,  4      ,114      , 91209113
 8624    ,  4      ,114      ,291280877
 3618    ,  4      ,114      ,119899174
 1703    ,  4      ,114      , 39936129
10373    ,  4      ,114      ,339324689
 8885    ,  4      ,114      ,292656864
 4055    ,  4      ,114      ,148255223
  990    ,  4      ,114      , 27379213
 2749    ,  4      ,114      , 86357087
 5368    ,  4      ,114      ,190891131
 6591    ,  4      ,114      ,222085448
 5686    ,  4      ,114      ,209964862
 4783    ,  4      ,114      ,162149099
 9083    ,  4      ,114      ,294678211
 3391    ,  4      ,114      ,110680311
 2918    ,  4      ,114      , 94309384
 3881    ,  4      ,114      ,134097408
 4156    ,  4      ,114      ,148660792
10474    ,  4      ,114      ,339631072
  146    ,  4      ,114      , 15608150
 1215    ,  4      ,114      , 31792201
 3795    ,  4      ,114      ,121636939
 6936    ,  4      ,114      ,224989411
 5201    ,  4      ,114      ,183984448
 9429    ,  4      ,114      ,300310043
10700    ,  4      ,114      ,340788805
 4333    ,  4      ,114      ,152979807
 1101    ,  4      ,114      , 29830130
10743    ,  4      ,114      ,344211287
10563    ,  4      ,114      ,340626022
 3285    ,  4      ,114      ,110668775
 8005    ,  4      ,114      ,258540770
 7886    ,  4      ,114      ,258509566
 5539    ,  4      ,114      ,191639502
  348    ,  4      ,114      , 15897649
 4236    ,  4      ,114      ,150024182
10869    ,  4      ,114      ,347537809
 3155    ,  4      ,114      ,110638030
 3756    ,  4      ,114      ,120437829
 9290    ,  4      ,114      ,297621735
 8320    ,  4      ,114      ,270307774
 5879    ,  4      ,114      ,217076587
 2564    ,  4      ,114      , 73748246
  542    ,  4      ,114      , 16329260
 1458    ,  4      ,114      , 33240213
 1544    ,  4      ,114      , 34556519
  101    ,  4      ,114      , 15606866
 6828    ,  4      ,114      ,224367389
 1749    ,  4      ,114      , 45656257
 9310    ,  4      ,114      ,298735609
 3012    ,  4      ,114      ,109946738
 5224    ,  4      ,114      ,189218276
 2378    ,  4      ,114      , 55377170
 5054    ,  4      ,114      ,172037411
  233    ,  4      ,114      , 15672672
 8421    ,  4      ,114      ,281491189
  700    ,  4      ,114      , 20090300
 7322    ,  4      ,114      ,226309677
 9727    ,  4      ,114      ,302035917
10116    ,  4      ,114      ,328956557
    1    ,  4      ,114      , 14600800
 1407    ,  4      ,114      , 32477477
10911    ,  4      ,114      ,352682793
 9557    ,  4      ,114      ,300870168
 7011    ,  4      ,114      ,225618959
10265    ,  4      ,114      ,337738193
 9112    ,  4      ,114      ,295702279
 8898    ,  4      ,114      ,294496912
 9634    ,  4      ,114      ,301051777
 1875    ,  4      ,114      , 49477600
  791    ,  4      ,114      , 21673632
 6674    ,  4      ,114      ,222093811
 2253    ,  4      ,114      , 52145175
 4540    ,  4      ,114      ,157690824
 2263    ,  4      ,114      , 52783899
 2008    ,  4      ,114      , 52078537
 9925    ,  4      ,114      ,308171933
 8556    ,  4      ,114      ,288554650
  374    ,  4      ,114      , 16077110
 9824    ,  4      ,114      ,305672740
 4428    ,  4      ,114      ,154684561
 8369    ,  5      ,115      ,270308254
 3207    ,  5      ,115      ,110639790
 5304    ,  5      ,115      ,189219874
 5041    ,  5      ,115      ,172036756
  543    ,  5      ,115      , 16329287
 1505    ,  5      ,115      , 33241096
 4256    ,  5      ,115      ,150024572
 9252    ,  5      ,115      ,297621094
10788    ,  5      ,115      ,347535274
 3655    ,  5      ,115      ,120434526
 2618    ,  5      ,115      , 73748752
10609    ,  5      ,115      ,340627834
 1082    ,  5      ,115      , 29829095
 4857    ,  5      ,115      ,162454076
 4210    ,  5      ,115      ,148662682
10520    ,  5      ,115      ,339632850
 1269    ,  5      ,115      , 31794018
 3848    ,  5      ,115      ,121638721
 6990    ,  5      ,115      ,224991213
  194    ,  5      ,115      , 15609978
 5149    ,  5      ,115      ,183981905
10338    ,  5      ,115      ,338175953
   37    ,  5      ,115      , 15605801
 5495    ,  5      ,115      ,191638561
 7839    ,  5      ,115      ,258508610
10236    ,  5      ,115      ,337737016
  234    ,  5      ,115      , 15672746
  673    ,  5      ,115      , 19705318
 3952    ,  5      ,115      ,134102374
 5940    ,  5      ,115      ,217077786
 9604    ,  5      ,115      ,300871262
 7023    ,  5      ,115      ,225619365
  320    ,  5      ,115      , 15897168
 9168    ,  5      ,115      ,295706246
 8954    ,  5      ,115      ,294500900
 2161    ,  5      ,115      , 52141674
 9671    ,  5      ,115      ,301055306
 1931    ,  5      ,115      , 49479412
 7959    ,  5      ,115      ,258539789
 6766    ,  5      ,115      ,222097260
  407    ,  5      ,115      , 16078723
 4477    ,  5      ,115      ,154686077
 9967    ,  5      ,115      ,308173623
 2053    ,  5      ,115      , 52080267
 2313    ,  5      ,115      , 52785644
 4588    ,  5      ,115      ,157692343
 8619    ,  5      ,115      ,288556945
 7394    ,  5      ,115      ,226313023
10147    ,  5      ,115      ,328957408
 8422    ,  5      ,115      ,281491260
 9868    ,  5      ,115      ,305674393
 4008    ,  5      ,115      ,148251679
  964    ,  5      ,115      , 27375896
 4361    ,  5      ,115      ,152980158
 2720    ,  5      ,115      , 86355778
 5826    ,  5      ,115      ,215488487
 6216    ,  5      ,115      ,218691461
  903    ,  5      ,115      , 26249753
 3498    ,  5      ,115      ,117625465
 2875    ,  5      ,115      , 91212591
 6113    ,  5      ,115      ,218560241
 2513    ,  5      ,115      , 62181798
 8733    ,  5      ,115      ,291616009
 1660    ,  5      ,115      , 39933515
10051    ,  5      ,115      ,320449995
 6421    ,  5      ,115      ,218701940
 7205    ,  5      ,115      ,225874866
 6833    ,  5      ,115      ,224367580
 1324    ,  5      ,115      , 32473747
  771    ,  5      ,115      , 21673079
 3309    ,  5      ,115      ,110669266
 1813    ,  5      ,115      , 45658541
10913    ,  5      ,115      ,352682849
 4652    ,  5      ,115      ,161484938
 9308    ,  5      ,115      ,298735514
 3010    ,  5      ,115      ,109946702
 1613    ,  5      ,115      , 34558085
 7264    ,  5      ,115      ,226226960
 6519    ,  5      ,115      ,218706791
 8075    ,  5      ,115      ,260845984
 9812    ,  5      ,115      ,302039405
 8175    ,  5      ,115      ,260857298
 6317    ,  5      ,115      ,218696876
 5341    ,  5      ,115      ,190889787
 6565    ,  5      ,115      ,222084328
10771    ,  5      ,115      ,344213105
 2408    ,  5      ,115      , 55379093
 2654    ,  5      ,115      , 76800714
 5733    ,  5      ,115      ,209966175
 9016    ,  5      ,115      ,294675770
 3327    ,  5      ,115      ,110677786
 9496    ,  5      ,115      ,300312899
10696    ,  5      ,115      ,340788626
 4720    ,  5      ,115      ,162147158
 2953    ,  5      ,115      , 94310970
10400    ,  5      ,115      ,339326338
 6011    ,  5      ,115      ,218555741
 8686    ,  5      ,115      ,291284545
 7708    ,  5      ,115      ,254795120
  509    ,  5      ,115      , 16131061
 8275    ,  5      ,115      ,260869921
 7506    ,  5      ,115      ,238902273
 7607    ,  5      ,115      ,254163113
 3610    ,  5      ,115      ,119898399
 4970    ,  5      ,115      ,170082706
 4088    ,  6      ,116      ,148256377
 3725    ,  6      ,116      ,120437159
 5918    ,  6      ,116      ,217077298
 1512    ,  6      ,116      , 33241147
 9573    ,  6      ,116      ,300870632
 7091    ,  6      ,116      ,225621042
 5083    ,  6      ,116      ,172038942
 9284    ,  6      ,116      ,297621706
10349    ,  6      ,116      ,338176281
 1027    ,  6      ,116      , 27380496
 1712    ,  6      ,116      , 39936298
10850    ,  6      ,116      ,347537366
 2768    ,  6      ,116      , 86357320
 5388    ,  6      ,116      ,190891370
 6613    ,  6      ,116      ,222085690
 3356    ,  6      ,116      ,110678743
 9030    ,  6      ,116      ,294675872
 4791    ,  6      ,116      ,162149159
 4876    ,  6      ,116      ,162456231
10555    ,  6      ,116      ,340625740
 4148    ,  6      ,116      ,148660494
 5656    ,  6      ,116      ,209964055
 4286    ,  6      ,116      ,150025392
10273    ,  6      ,116      ,337738325
10466    ,  6      ,116      ,339630787
 3188    ,  6      ,116      ,110639520
 4441    ,  6      ,116      ,154684649
 9936    ,  6      ,116      ,308172022
 9835    ,  6      ,116      ,305672830
  384    ,  6      ,116      , 16077199
 4677    ,  6      ,116      ,161760690
 2276    ,  6      ,116      , 52783986
 4553    ,  6      ,116      ,157690915
 9125    ,  6      ,116      ,295702365
 8912    ,  6      ,116      ,294497000
 6686    ,  6      ,116      ,222093895
  668    ,  6      ,116      , 19704950
 9645    ,  6      ,116      ,301051862
 2243    ,  6      ,116      , 52145097
 8569    ,  6      ,116      ,288554740
10184    ,  6      ,116      ,328958713
 7334    ,  6      ,116      ,226309823
 5530    ,  6      ,116      ,191639414
 7996    ,  6      ,116      ,258540665
 7876    ,  6      ,116      ,258509467
 8496    ,  6      ,116      ,281492743
  301    ,  6      ,116      , 15674065
 1983    ,  6      ,116      , 49481676
 1207    ,  6      ,116      , 31791905
 3787    ,  6      ,116      ,121636641
  569    ,  6      ,116      , 16329927
  138    ,  6      ,116      , 15607859
 7713    ,  6      ,116      ,254795242
 8180    ,  6      ,116      ,260857426
 7612    ,  6      ,116      ,254163233
 7511    ,  6      ,116      ,238902396
 8691    ,  6      ,116      ,291284663
 4975    ,  6      ,116      ,170082825
  514    ,  6      ,116      , 16131184
 2518    ,  6      ,116      , 62181929
 8822    ,  6      ,116      ,291619160
  835    ,  6      ,116      , 21674983
 6118    ,  6      ,116      ,218560366
 6887    ,  6      ,116      ,224370676
 2576    ,  6      ,116      , 73748331
 9322    ,  6      ,116      ,298735671
 3021    ,  6      ,116      ,109946773
 1606    ,  6      ,116      , 34558014
   92    ,  6      ,116      , 15606751
 1822    ,  6      ,116      , 45658688
 9755    ,  6      ,116      ,302036680
 5246    ,  6      ,116      ,189218710
10760    ,  6      ,116      ,344212397
 1354    ,  6      ,116      , 32475073
 8080    ,  6      ,116      ,260846103
 8280    ,  6      ,116      ,260870048
 8331    ,  6      ,116      ,270307856
 3503    ,  6      ,116      ,117625585
 2880    ,  6      ,116      , 91212735
 5129    ,  6      ,116      ,183981072
 3979    ,  6      ,116      ,134103249
 1128    ,  6      ,116      , 29831484
 7237    ,  6      ,116      ,226226294
 5566    ,  6      ,116      ,197117338
10091    ,  6      ,116      ,320451285
 4391    ,  6      ,116      ,152980508
10636    ,  6      ,116      ,340785611
 9407    ,  6      ,116      ,300309471
10435    ,  6      ,116      ,339327501
 7144    ,  6      ,116      ,225873063
 3635    ,  6      ,116      ,119899691
 6426    ,  6      ,116      ,218702067
  908    ,  6      ,116      , 26249892
 6928    ,  6      ,116      ,224989113
 5831    ,  6      ,116      ,215488605
 6221    ,  6      ,116      ,218691591
 6524    ,  6      ,116      ,218706912
 6016    ,  6      ,116      ,218555862
 2992    ,  6      ,116      , 94312233
 6322    ,  6      ,116      ,218696997
 6478    ,  7      ,117      ,218704368
 9481    ,  7      ,117      ,300312521
 4349    ,  7      ,117      ,152980020
 2944    ,  7      ,117      , 94310158
 3614    ,  7      ,117      ,119898501
 4844    ,  7      ,117      ,162452678
10725    ,  7      ,117      ,344210530
 3225    ,  7      ,117      ,110667029
 8888    ,  7      ,117      ,292657051
 2660    ,  7      ,117      , 76800866
 6393    ,  7      ,117      ,218700536
10689    ,  7      ,117      ,340788191
 2420    ,  7      ,117      , 55379558
 6578    ,  7      ,117      ,222084799
 5354    ,  7      ,117      ,190890237
10504    ,  7      ,117      ,339632171
  969    ,  7      ,117      , 27376251
 4030    ,  7      ,117      ,148252376
 5732    ,  7      ,117      ,209966130
 4707    ,  7      ,117      ,162146684
 1169    ,  7      ,117      , 29833410
 5184    ,  7      ,117      ,183983119
10593    ,  7      ,117      ,340627147
 6972    ,  7      ,117      ,224990515
 3831    ,  7      ,117      ,121638021
  178    ,  7      ,117      , 15609276
 1252    ,  7      ,117      , 31793319
 4192    ,  7      ,117      ,148661954
 3459    ,  7      ,117      ,117623156
 2733    ,  7      ,117      , 86356193
 2836    ,  7      ,117      , 91210040
 6072    ,  7      ,117      ,218557843
 6174    ,  7      ,117      ,218688781
10893    ,  7      ,117      ,352682006
 5216    ,  7      ,117      ,189218145
 3075    ,  7      ,117      ,109947648
 9371    ,  7      ,117      ,298736622
  649    ,  7      ,117      , 16332087
 5023    ,  7      ,117      ,172036040
 7413    ,  7      ,117      ,226314520
 1429    ,  7      ,117      , 33239677
 1837    ,  7      ,117      , 45659250
 3179    ,  7      ,117      ,110639085
 3712    ,  7      ,117      ,120436856
10819    ,  7      ,117      ,347536515
 4303    ,  7      ,117      ,150025867
10071    ,  7      ,117      ,320450901
 8766    ,  7      ,117      ,291616934
 1636    ,  7      ,117      , 34558492
 8644    ,  7      ,117      ,291281945
 2471    ,  7      ,117      , 62179581
  867    ,  7      ,117      , 26246966
 5784    ,  7      ,117      ,215486063
 8234    ,  7      ,117      ,260867117
 8034    ,  7      ,117      ,260843194
 8134    ,  7      ,117      ,260854237
 6276    ,  7      ,117      ,218694420
 7566    ,  7      ,117      ,254161059
 7465    ,  7      ,117      ,238900203
 4930    ,  7      ,117      ,170080603
