win_length,x,dXY,dXY_inv,vX,vX_inv,vY,vY_inv,q1,nx,ny
9,48,0,0,0,0,0,0,0,51,30,0
9,49,0,0,0,0,0,0,0,43,38,0
9,50,0,0,0,0,0,0,0,38,43,0
9,51,0,0,0,0,0,0,0,39,42,0
9,52,0,0,0,0,0,0,0,43,38,0
9,53,0,0,0,0,0,0,0,44,37,0
9,54,0,0,0,0,0,0,0,43,38,0
9,55,0,0,0,0,0,0,0,33,48,0
9,56,0,0,0,0,0,0,0,38,43,0
9,57,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,58,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,59,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,60,0.0128985,0,0.000368528,0,1.31763e-16,0,0.0125299,67,14,0
9,61,0.0128985,0,0.000368528,0,1.41523e-16,0,0.0125299,67,14,0
9,62,0.0128985,0,0.000368528,0,1.22003e-16,0,0.0125299,67,14,0
9,63,0.0128985,0,0.000368528,0,9.27219e-17,0,0.0125299,67,14,0
9,64,0.0128985,0,0.000368528,0,1.12242e-16,0,0.0125299,67,14,0
9,65,0.0128985,0,0.000368528,0,1.70804e-16,0,0.0125299,67,14,0
9,66,0.0123457,0,5.02136e-19,0,1.39083e-16,0,0.0123457,67,14,0
9,67,0.0123457,0,2.61111e-18,0,6.10013e-17,0,0.0123457,67,14,0
9,68,0.0123457,0,9.03845e-19,0,1.00042e-16,0,0.0123457,67,14,0
9,69,0,0,0,0,0,0,0,40,41,0
9,70,0,0,0,0,0,0,0,40,41,0
9,71,0,0,0,0,0,0,0,37,44,0
9,72,0,0,0,0,0,0,0,46,35,0
9,73,0,0,0,0,0,0,0,34,47,0
9,74,0,0,0,0,0,0,0,38,43,0
9,75,0,0,0,0,0,0,0,45,36,0
9,76,0,0,0,0,0,0,0,36,45,0
9,77,0,0,0,0,0,0,0,38,43,0
9,78,0,0,0,0,0,0,0,41,40,0
9,79,0,0,0,0,0,0,0,39,42,0
9,80,0,0,0,0,0,0,0,46,35,0
9,81,0,0,0,0,0,0,0,38,43,0
9,82,0,0,0,0,0,0,0,43,38,0
9,83,0,0,0,0,0,0,0,47,34,0
9,84,0,0,0,0,0,0,0,30,51,0
9,85,0,0,0,0,0,0,0,36,45,0
9,86,0,0,0,0,0,0,0,46,35,0
9,87,0,0,0,0,0,0,0,34,47,0
9,88,0,0,0,0,0,0,0,34,47,0
9,89,0,0,0,0,0,0,0,42,39,0
9,90,0,0,0,0,0,0,0,49,32,0
9,91,0,0,0,0,0,0,0,37,44,0
9,92,0,0,0,0,0,0,0,43,38,0
9,93,0,0,0,0,0,0,0,41,40,0
9,94,0,0,0,0,0,0,0,40,41,0
9,95,0,0,0,0,0,0,0,40,41,0
9,96,0,0,0,0,0,0,0,41,40,0
9,97,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,98,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,99,0.0123457,0,-4.68449e-19,0,0.0493827,0,0.0123457,79,2,0
9,100,0.0123457,0,0,0,0.0493827,0,0.0123457,79,2,0
9,101,0.0123457,0,-4.68449e-19,0,0.0493827,0,0.0123457,79,2,0
9,102,0.0123457,0,-4.32414e-19,0,0.0493827,0,0.0123457,79,2,0
9,103,0.0123457,0,-2.88276e-19,0,0.0493827,0,0.0123457,79,2,0
9,104,0.0123457,0,-3.60345e-19,0,0.0493827,0,0.0123457,79,2,0
9,105,0.0123457,0,-4.32414e-19,0,0.0493827,0,0.0123457,79,2,0
9,106,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,107,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,108,0,0,0,0,0,0,0,48,33,0
9,109,0,0,0,0,0,0,0,46,35,0
9,110,0,0,0,0,0,0,0,43,38,0
9,111,0,0,0,0,0,0,0,39,42,0
9,112,0,0,0,0,0,0,0,48,33,0
9,113,0,0,0,0,0,0,0,38,43,0
9,114,0,0,0,0,0,0,0,43,38,0
9,115,0,0,0,0,0,0,0,39,42,0
9,116,0,0,0,0,0,0,0,41,40,0
9,117,0.0123457,0,-3.19189e-16,0,0.005333,0,0.0123457,32,49,0
9,118,0.0123457,0,-2.85726e-16,0,0.005333,0,0.0123457,32,49,0
9,119,0.0123457,0,-2.12e-16,0,0.00568649,0,0.0123457,36,45,0
9,120,0.0123457,0,-1.19481e-16,0,0.00568649,0,0.0123457,36,45,0
9,121,0.0123457,0,-2.05832e-16,0,0.00568649,0,0.0123457,36,45,0
9,122,0.0123457,0,-1.58587e-16,0,0.005333,0,0.0123457,32,49,0
9,123,0.0123457,0,-3.60263e-16,0,0.005333,0,0.0123457,32,49,0
9,124,0.0123457,0,-1.59483e-16,0,0.005333,0,0.0123457,32,49,0
9,125,0.0123457,0,-9.35759e-17,0,0.00568649,0,0.0123457,36,45,0
9,126,0,0,0,0,0,0,0,43,38,0
9,127,0,0,0,0,0,0,0,42,39,0
9,128,0,0,0,0,0,0,0,37,44,0
9,129,0,0,0,0,0,0,0,47,34,0
9,130,0,0,0,0,0,0,0,39,42,0
9,131,0,0,0,0,0,0,0,45,36,0
9,132,0,0,0,0,0,0,0,46,35,0
9,133,0,0,0,0,0,0,0,39,42,0
9,134,0,0,0,0,0,0,0,43,38,0
9,135,0,0,0,0,0,0,0,40,41,0
9,136,0,0,0,0,0,0,0,35,46,0
9,137,0,0,0,0,0,0,0,47,34,0
9,138,0.0123457,0,-5.51664e-19,0,8.07435e-17,0,0.0123457,70,11,0
9,139,0.0123457,0,-9.19439e-19,0,9.68922e-17,0,0.0123457,70,11,0
9,140,0.0123457,0,1.19527e-18,0,2.4223e-17,0,0.0123457,70,11,0
9,141,0.0123457,0,1.42513e-18,0,4.03717e-17,0,0.0123457,70,11,0
9,142,0.0123457,0,-9.19439e-19,0,1.04967e-16,0,0.0123457,70,11,0
9,143,0.0123457,0,-9.19439e-19,0,9.68922e-17,0,0.0123457,70,11,0
9,144,0.0134039,0,0.000695243,0,1.77636e-16,0,0.0127086,70,11,0
9,145,0.0134039,0,0.000695243,0,1.77636e-16,0,0.0127086,70,11,0
9,146,0.0134039,0,0.000695243,0,2.09933e-16,0,0.0127086,70,11,0
9,147,0.0123457,0,-3.60345e-19,0,-1.66533e-15,0,0.0123457,79,2,0
9,148,0.0123457,0,-2.16207e-19,0,-2.55351e-15,0,0.0123457,79,2,0
9,149,0.0123457,0,-3.9638e-19,0,-1.66533e-15,0,0.0123457,79,2,0
9,150,0.0123457,0,-5.04483e-19,0,-7.77156e-16,0,0.0123457,79,2,0
9,151,0.0123457,0,-2.88276e-19,0,-2.10942e-15,0,0.0123457,79,2,0
9,152,0.0123457,0,-4.32414e-19,0,-1.22125e-15,0,0.0123457,79,2,0
9,153,0,0,0,0,0,0,0,41,40,0
9,154,0.0123457,0,5.01796e-18,0,4.28229e-17,0,0.0123457,60,21,0
9,155,0.0493827,0,1.7312e-17,0,1.37456e-16,0,0.0493827,60,21,0
9,156,0.0875955,0,-3.76347e-17,0,0.00611405,0,0.0875955,60,21,0
9,157,0.179012,0,2.31296e-16,0,0.0137222,0,0.179012,13,68,0
9,158,0.179012,0,-1.52513e-15,0,0.0137222,0,0.179012,13,68,0
9,159,0.179012,0,-6.04929e-16,0,0.0137222,0,0.179012,13,68,0
9,160,0.173139,0,0.00828801,0,0.00305703,0,0.164851,66,15,0
9,161,0.179012,0,-2.81826e-15,0,0.0137222,0,0.179012,13,68,0
9,162,0.277052,0,-2.61187e-15,0,0.0280298,0,0.277052,13,68,0
9,163,0.277052,0,-2.51081e-15,0,0.0280298,0,0.277052,13,68,0
9,164,0.173139,0,0.00828801,0,0.00305703,0,0.164851,66,15,0
9,165,0.102132,0,-7.44378e-16,0,0.00828801,0,0.102132,15,66,0
9,166,0.0493827,0,1.7312e-17,0,1.37456e-16,0,0.0493827,60,21,0
9,167,0.0493827,0,1.70611e-17,0,2.05127e-16,0,0.0493827,60,21,0
9,168,0.0493827,0,1.7312e-17,0,1.37456e-16,0,0.0493827,60,21,0
9,169,0.0493827,0,1.7312e-17,0,1.37456e-16,0,0.0493827,60,21,0
9,170,0.0493827,0,2.50898e-18,0,3.74304e-16,0,0.0493827,60,21,0
9,171,0.0374001,0,-1.60555e-15,0,0.00791251,0,0.0374001,13,68,0
9,172,0.0123457,0,1.68357e-17,0,2.11923e-17,0,0.0123457,54,27,0
9,173,0.0123457,0,1.39651e-18,0,7.43312e-17,0,0.0123457,54,27,0
9,174,0.0123457,0,1.97838e-17,0,2.62531e-17,0,0.0123457,54,27,0
9,175,0.0123457,0,3.10335e-18,0,6.42095e-17,0,0.0123457,54,27,0
9,176,0.0123457,0,3.3361e-18,0,7.9392e-17,0,0.0123457,54,27,0
9,177,0.0123457,0,2.01718e-18,0,6.92703e-17,0,0.0123457,54,27,0
9,178,0.0123457,0,-7.75837e-20,0,-4.52313e-17,0,0.0123457,54,27,0
9,179,0.0123457,0,3.3361e-18,0,7.9392e-17,0,0.0123457,54,27,0
9,180,0.0123457,0,5.13802e-19,0,0.00352734,0,0.0123457,74,7,0
9,181,0.0123457,0,7.39875e-19,0,0.00352734,0,0.0123457,74,7,0
9,182,0.0123457,0,3.49385e-19,0,0.00352734,0,0.0123457,74,7,0
9,183,0.0493827,0,0.000329218,0,-9.4369e-16,0,0.0490535,75,6,0
9,184,0.0493827,0,0.000329218,0,-7.06842e-16,0,0.0490535,75,6,0
9,185,0.0493827,0,0.000329218,0,-9.4369e-16,0,0.0490535,75,6,0
9,186,0.0493827,0,0.000329218,0,-1.18054e-15,0,0.0490535,75,6,0
9,187,0.0493827,0,0.000329218,0,-8.25266e-16,0,0.0490535,75,6,0
9,188,0.0493827,0,0.000329218,0,-7.06842e-16,0,0.0490535,75,6,0
9,189,0.0123457,0,0,0,1.92439e-16,0,0.0123457,75,6,0
9,190,0.0123457,0,0,0,1.92439e-16,0,0.0123457,75,6,0
9,191,0.0123457,0,6.80137e-19,0,1.33227e-16,0,0.0123457,75,6,0
9,192,0,0,0,0,0,0,0,41,40,0
9,193,0.0123457,0,3.60072e-19,0,1.33227e-16,0,0.0123457,75,6,0
9,194,0.0123457,0,0,0,2.81256e-16,0,0.0123457,75,6,0
9,195,0.0123457,0,0,0,2.51651e-16,0,0.0123457,75,6,0
9,196,0.0123457,0,0,0,2.81256e-16,0,0.0123457,75,6,0
9,197,0.0123457,0,-4.80096e-19,0,1.03621e-16,0,0.0123457,75,6,0
9,198,0.0123457,0,2.80056e-19,0,7.40149e-17,0,0.0123457,75,6,0
9,199,0.0123457,0,0,0,2.51651e-16,0,0.0123457,75,6,0
9,200,0.0123457,0,-1.60032e-19,0,1.4803e-17,0,0.0123457,75,6,0
9,201,0.0128395,0,0.000329218,0,-1.11022e-17,0,0.0125103,75,6,0
9,202,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,203,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,204,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,205,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,206,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,207,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,208,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,209,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,210,0,0,0,0,0,0,0,39,42,0
9,211,0,0,0,0,0,0,0,37,44,0
9,212,0,0,0,0,0,0,0,32,49,0
9,213,0,0,0,0,0,0,0,47,34,0
9,214,0,0,0,0,0,0,0,39,42,0
9,215,0,0,0,0,0,0,0,44,37,0
9,216,0,0,0,0,0,0,0,39,42,0
9,217,0,0,0,0,0,0,0,44,37,0
9,218,0,0,0,0,0,0,0,41,40,0
9,219,0,0,0,0,0,0,0,46,35,0
9,220,0,0,0,0,0,0,0,36,45,0
9,221,0,0,0,0,0,0,0,43,38,0
9,222,0,0,0,0,0,0,0,41,40,0
9,223,0,0,0,0,0,0,0,36,45,0
9,224,0,0,0,0,0,0,0,38,43,0
9,225,0,0,0,0,0,0,0,40,41,0
9,226,0,0,0,0,0,0,0,35,46,0
9,227,0,0,0,0,0,0,0,43,38,0
9,228,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,229,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,230,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,231,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,232,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,233,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,234,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,235,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,236,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,237,0,0,0,0,0,0,0,42,39,0
9,238,0,0,0,0,0,0,0,50,31,0
9,239,0,0,0,0,0,0,0,40,41,0
9,240,0,0,0,0,0,0,0,36,45,0
9,241,0,0,0,0,0,0,0,44,37,0
9,242,0,0,0,0,0,0,0,45,36,0
9,243,0,0,0,0,0,0,0,39,42,0
9,244,0.0123457,0,0,0,-2.10942e-15,0,0.0123457,79,2,0
9,245,0.0123457,0,-2.52242e-19,0,-2.55351e-15,0,0.0123457,79,2,0
9,246,0.0493827,0,-1.72966e-18,0,-4.88498e-15,0,0.0493827,79,2,0
9,247,0.0493827,0,-1.29724e-18,0,-8.43769e-15,0,0.0493827,79,2,0
9,248,0.0493827,0,-1.1531e-18,0,-8.43769e-15,0,0.0493827,79,2,0
9,249,0.111111,0,-4.61242e-18,0,-1.22125e-15,0,0.111111,79,2,0
9,250,0.111111,0,-4.61242e-18,0,-1.22125e-15,0,0.111111,79,2,0
9,251,0.111111,0,0,0,-1.22125e-15,0,0.111111,79,2,0
9,252,0.197531,0,0,0,-3.37508e-14,0,0.197531,79,2,0
9,253,0.197531,0,-4.03586e-18,0,-4.08562e-14,0,0.197531,79,2,0
9,254,0.197531,0,-6.34207e-18,0,-2.66454e-14,0,0.197531,79,2,0
9,255,0.111111,0,0,0,-1.22125e-15,0,0.111111,79,2,0
9,256,0.111111,0,0,0,-1.63203e-14,0,0.111111,79,2,0
9,257,0.111111,0,0,0,-1.63203e-14,0,0.111111,79,2,0
9,258,0.0493827,0,-2.01793e-18,0,-3.10862e-15,0,0.0493827,79,2,0
9,259,0.0493827,0,0,0,-8.43769e-15,0,0.0493827,79,2,0
9,260,0.0493827,0,-1.44138e-18,0,-6.66134e-15,0,0.0493827,79,2,0
9,261,0.0493827,0,-1.87379e-18,0,-4.88498e-15,0,0.0493827,79,2,0
9,262,0.0123457,0,-3.60345e-19,0,-1.66533e-15,0,0.0123457,79,2,0
9,263,0.0123457,0,-4.68449e-19,0,-1.22125e-15,0,0.0123457,79,2,0
9,264,0.0123457,0,-4.68449e-19,0,-1.22125e-15,0,0.0123457,79,2,0
9,265,0.0123457,0,0,0,-2.10942e-15,0,0.0123457,79,2,0
9,266,0.0123457,0,-3.60345e-19,0,-1.66533e-15,0,0.0123457,79,2,0
9,267,0.0123457,0,-4.32414e-19,0,-1.22125e-15,0,0.0123457,79,2,0
9,268,0.0123457,0,-4.32414e-19,0,-1.22125e-15,0,0.0123457,79,2,0
9,269,0.0123457,0,-3.60345e-19,0,-1.66533e-15,0,0.0123457,79,2,0
9,270,0,0,0,0,0,0,0,43,38,0
9,271,0,0,0,0,0,0,0,42,39,0
9,272,0,0,0,0,0,0,0,38,43,0
9,273,0,0,0,0,0,0,0,41,40,0
9,274,0,0,0,0,0,0,0,46,35,0
9,275,0,0,0,0,0,0,0,40,41,0
9,276,0,0,0,0,0,0,0,37,44,0
9,277,0,0,0,0,0,0,0,42,39,0
9,278,0,0,0,0,0,0,0,39,42,0
9,279,0,0,0,0,0,0,0,40,41,0
9,280,0,0,0,0,0,0,0,39,42,0
9,281,0,0,0,0,0,0,0,42,39,0
9,282,0,0,0,0,0,0,0,45,36,0
9,283,0,0,0,0,0,0,0,40,41,0
9,284,0,0,0,0,0,0,0,40,41,0
9,285,0,0,0,0,0,0,0,48,33,0
9,286,0,0,0,0,0,0,0,41,40,0
9,287,0,0,0,0,0,0,0,32,49,0
9,288,0.0123457,0,0,0,-2.59052e-16,0,0.0123457,78,3,0
9,289,0.0123457,0,-4.06675e-19,0,2.59052e-16,0,0.0123457,78,3,0
9,290,0.0123457,0,0,0,-4.81097e-16,0,0.0123457,78,3,0
9,291,0.0123457,0,-6.28498e-19,0,1.85037e-16,0,0.0123457,78,3,0
9,292,0.0123457,0,0,0,-5.55112e-16,0,0.0123457,78,3,0
9,293,0.0123457,0,0,0,-1.85037e-16,0,0.0123457,78,3,0
9,294,0.0123457,0,-4.80616e-19,0,2.59052e-16,0,0.0123457,78,3,0
9,295,0.0123457,0,-4.80616e-19,0,2.59052e-16,0,0.0123457,78,3,0
9,296,0.0123457,0,0,0,-4.07082e-16,0,0.0123457,78,3,0
9,297,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,298,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,299,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,300,0.0123457,0,-4.32414e-19,0,0.0493827,0,0.0123457,79,2,0
9,301,0.0123457,0,-3.60345e-19,0,0.0493827,0,0.0123457,79,2,0
9,302,0.0132953,0,0.000641334,0,-4.62593e-16,0,0.012654,78,3,0
9,303,0.0186709,0,0.00137174,0,0.00274348,0,0.0172992,72,9,0
9,304,0.0186709,0,0.00137174,0,0.00274348,0,0.0172992,72,9,0
9,305,0.0186709,0,0.00137174,0,0.00274348,0,0.0172992,72,9,0
9,306,0.0181184,0,0.000999826,0,0.00274348,0,0.0171186,72,9,0
9,307,0.0181184,0,0.000999826,0,0.00274348,0,0.0171186,72,9,0
9,308,0.0181184,0,0.000999826,0,0.00274348,0,0.0171186,72,9,0
9,309,0.0138889,0,0.000999826,0,1.85037e-16,0,0.0128891,72,9,0
9,310,0.0138889,0,0.000999826,0,2.83724e-16,0,0.0128891,72,9,0
9,311,0.0123457,0,-6.94975e-19,0,6.93889e-17,0,0.0123457,72,9,0
9,312,0,0,0,0,0,0,0,38,43,0
9,313,0,0,0,0,0,0,0,39,42,0
9,314,0,0,0,0,0,0,0,42,39,0
9,315,0,0,0,0,0,0,0,49,32,0
9,316,0,0,0,0,0,0,0,41,40,0
9,317,0,0,0,0,0,0,0,44,37,0
9,318,0,0,0,0,0,0,0,38,43,0
9,319,0,0,0,0,0,0,0,48,33,0
9,320,0,0,0,0,0,0,0,39,42,0
9,321,0,0,0,0,0,0,0,43,38,0
9,322,0,0,0,0,0,0,0,37,44,0
9,323,0,0,0,0,0,0,0,41,40,0
9,324,0.0123457,0,4.40565e-19,0,0.00145243,0,0.0123457,64,17,0
9,325,0.0123457,0,1.98254e-18,0,0.00145243,0,0.0123457,64,17,0
9,326,0.0123457,0,1.65212e-18,0,0.00145243,0,0.0123457,64,17,0
9,327,0.0123457,0,3.13902e-18,0,0.00145243,0,0.0123457,64,17,0
9,328,0.0123457,0,1.43184e-18,0,0.00145243,0,0.0123457,64,17,0
9,329,0.0123457,0,3.19409e-18,0,0.00145243,0,0.0123457,64,17,0
9,330,0.0123457,0,3.85494e-19,0,0.00145243,0,0.0123457,64,17,0
9,331,0.0123457,0,2.09268e-18,0,0.00145243,0,0.0123457,64,17,0
9,332,0.0123457,0,1.43184e-18,0,0.00145243,0,0.0123457,64,17,0
9,333,0.0123457,0,0,0,0.0123457,0,0.0123457,79,2,0
9,334,0.0123457,0,0,0,0.0123457,0,0.0123457,79,2,0
9,335,0.0123457,0,-4.14397e-19,0,0.0123457,0,0.0123457,79,2,0
9,336,0.0123457,0,-5.225e-19,0,0.0123457,0,0.0123457,79,2,0
9,337,0.0123457,0,0,0,0.0123457,0,0.0123457,79,2,0
9,338,0.0123457,0,-5.225e-19,0,0.0123457,0,0.0123457,79,2,0
9,339,0.013389,0,0.000690563,0,2.63986e-16,0,0.0126984,71,10,0
9,340,0.013389,0,0.000690563,0,3.03461e-16,0,0.0126984,71,10,0
9,341,0.013389,0,0.000690563,0,3.24432e-16,0,0.0126984,71,10,0
9,342,0.0123457,0,-7.14832e-19,0,6.16791e-17,0,0.0123457,71,10,0
9,343,0.0469136,0,0.00162829,0,-4.30396e-15,0,0.0452853,75,6,0
9,344,0.0477366,0,0.002002,0,9.21485e-16,0,0.0457346,75,6,0
9,345,0.0477366,0,0.002002,0,-5.72135e-15,0,0.0457346,75,6,0
9,346,0.0477366,0,0.002002,0,7.84558e-16,0,0.0457346,75,6,0
9,347,0.0477366,0,0.002002,0,-5.4771e-16,0,0.0457346,75,6,0
9,348,0.0128462,0,0.000333667,0,-3.06633e-16,0,0.0125125,74,7,0
9,349,0.0128462,0,0.000333667,0,-2.22045e-16,0,0.0125125,74,7,0
9,350,0.0128462,0,0.000333667,0,-3.06633e-16,0,0.0125125,74,7,0
9,351,0.0128462,0,0.000333667,0,-5.28678e-17,0,0.0125125,74,7,0
9,352,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,353,0,0,0,0,0,0,0,40,41,0
9,354,0,0,0,0,0,0,0,46,35,0
9,355,0,0,0,0,0,0,0,41,40,0
9,356,0,0,0,0,0,0,0,37,44,0
9,357,0,0,0,0,0,0,0,41,40,0
9,358,0,0,0,0,0,0,0,44,37,0
9,359,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,360,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,361,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,362,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,363,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,364,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,365,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,366,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,367,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,368,0,0,0,0,0,0,0,42,39,0
9,369,0,0,0,0,0,0,0,39,42,0
9,370,0,0,0,0,0,0,0,41,40,0
9,371,0,0,0,0,0,0,0,37,44,0
9,372,0,0,0,0,0,0,0,31,50,0
9,373,0,0,0,0,0,0,0,46,35,0
9,374,0,0,0,0,0,0,0,48,33,0
9,375,0,0,0,0,0,0,0,42,39,0
9,376,0,0,0,0,0,0,0,34,47,0
9,377,0,0,0,0,0,0,0,41,40,0
9,378,0,0,0,0,0,0,0,52,29,0
9,379,0,0,0,0,0,0,0,44,37,0
9,380,0,0,0,0,0,0,0,48,33,0
9,381,0,0,0,0,0,0,0,42,39,0
9,382,0,0,0,0,0,0,0,36,45,0
9,383,0,0,0,0,0,0,0,38,43,0
9,384,0,0,0,0,0,0,0,36,45,0
9,385,0,0,0,0,0,0,0,40,41,0
9,386,0,0,0,0,0,0,0,41,40,0
9,387,0,0,0,0,0,0,0,41,40,0
9,388,0,0,0,0,0,0,0,45,36,0
9,389,0,0,0,0,0,0,0,38,43,0
9,390,0,0,0,0,0,0,0,42,39,0
9,391,0,0,0,0,0,0,0,42,39,0
9,392,0,0,0,0,0,0,0,37,44,0
9,393,0,0,0,0,0,0,0,38,43,0
9,394,0,0,0,0,0,0,0,33,48,0
9,395,0,0,0,0,0,0,0,39,42,0
9,396,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,397,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,398,0.00617284,0,0,0,0.0123457,0,0.00617284,79,2,0
9,399,0.0308642,0,0,0,0.0123457,0,0.0308642,79,2,0
9,400,0.0308642,0,0,0,0.0123457,0,0.0308642,79,2,0
9,401,0.0308642,0,0,0,0.0123457,0,0.0308642,79,2,0
9,402,0.0314893,0,0.000312549,0,0.0123457,0,0.0311767,79,2,0
9,403,0.0314893,0,0.000312549,0,0.0123457,0,0.0311767,79,2,0
9,404,0.0314893,0,0.000312549,0,0.0123457,0,0.0311767,79,2,0
9,405,0.0128145,0,0.000312549,0,4.996e-16,0,0.012502,79,2,0
9,406,0.0128145,0,0.000312549,0,2.77556e-16,0,0.012502,79,2,0
